13/01/2022 03:07:00 p. m.-> WriteToFileHostedService: Process Start
13/01/2022 03:07:01 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:06 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:11 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:16 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:21 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:26 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:31 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:36 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:41 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:46 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:51 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:07:56 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:01 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:06 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:11 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:16 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:21 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:26 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:31 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:36 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:41 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:46 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:51 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:08:56 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:01 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:06 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:11 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:16 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:21 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:26 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:31 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:36 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:41 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:46 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:51 p. m.-> WriteToFileHostedService: Doing some work
13/01/2022 03:09:56 p. m.-> WriteToFileHostedService: Doing some work
